,alpha,beta
0,-6.8446115627582955,1.0452855088033444
1,-6.461786664084596,1.4122478081228207
2,-2.6144258851519484,0.5537525526011173
3,-1.4833777938409383,0.3303677679322257
4,-3.854306344475892,1.0862779255841617
5,-3.57887684062052,0.805065116356137
6,-1.1530654011748953,-0.0014769786077660219
7,-4.234053602038638,1.0470480284059702
8,-6.889087118628777,1.3717139373494185
9,-5.920031694543467,1.3085287559010785
10,-10.21043907199568,1.8060669101409035
11,-1.4386128514168535,0.5607625511203487
12,-3.7025582719623964,0.7900275297697905
13,-4.044032763296628,0.921636236632773
14,-3.4485297677759466,0.4869400683437237
15,-1.8619480979701875,0.4101360924943275
16,-11.327836853019628,2.1308520978633694
17,-3.0557360233264155,0.5481993869373949
18,-2.5962051188227515,0.6002504355660502
19,-8.183247665754095,1.60626317236717
20,-5.937404185764192,1.0217484519558042
21,-1.1993817699577307,0.23659356181104974
22,-4.889445752384689,1.3699165691420792
23,-5.949187673712995,1.2007637674404703
24,-6.964068855600026,1.5868548921838797
25,-1.05423310580436,0.4359941722859788
26,-7.305373895449268,1.495879095094676
27,-2.7285707015062965,0.5146892837252863
28,-4.901390321817624,1.335409511114214
29,-7.572254022604232,1.6262232372023373
30,-5.833361307187602,1.4278379787330109
31,-10.867692424714699,2.1494545363101754
32,-5.464842255650508,1.313599669539642
33,-2.6299084732338156,0.7685316887273077
34,-5.842292100213605,1.0800092767674938
35,-3.712767735793205,0.867102657427046
36,-2.411842657252091,0.5081007504428214
37,-10.882332536560853,1.9475618717888412
38,-3.754775106334136,0.7748918506386099
39,-3.0229156553378944,0.42956189119789406
40,-1.4082669367943272,0.3040435228263825
41,-3.7781607867720504,0.8409195840967532
42,-3.7625977050939823,0.9306017917910416
43,-4.887953271140011,1.045695584953434
44,-4.634843097321373,1.1863019650583957
45,-5.983648286503955,1.543495315784889
46,-4.0009156575525004,0.8922673236302376
47,-3.8858056555317337,0.7624226192115556
48,-3.4044586402387695,0.7280759734791017
49,-7.958419801266501,1.4371661157837146
50,-7.312774059970792,1.409359250086557
51,-11.369161254009104,2.268622578009333
52,-4.650334341293179,0.8386840626597479
53,-5.881935467413582,1.364600400843633
54,-3.0607926863592185,0.40831220308297106
55,-2.899760032880002,0.695797342063312
56,-6.4836782462216735,1.1159993625718523
57,-2.841029800193105,0.6022927733319982
58,-9.048482763441859,1.7594776742195044
59,-5.25176747640153,0.9617814707425181
60,-4.985374616773327,0.7174753720360676
61,-9.74616522463969,1.9853787332690376
62,-2.260417956212982,0.49191382561079683
63,-1.1543590496683052,0.2650703993560406
64,-6.260935439062427,1.400147498306736
65,-3.4562101526906206,0.7297991998321773
66,-3.8105174449776213,0.6047787905361308
67,-8.981496283603455,1.650654014486884
68,-5.793656052553792,0.8748453940749803
69,-11.090141994079643,2.11529693421453
70,-1.1039032975333658,0.28196674045434217
71,-5.293490590845879,0.7405274261570888
72,-4.224223443287665,1.049663952237258
73,-13.512554443972588,2.650034582692399
74,-8.791206399801125,1.4598852448062607
75,-4.834228117553759,0.8284190496905983
76,-2.5238770764968907,0.4704035192699296
77,-5.941796057762755,1.47173215145098
78,-3.906767784758487,0.8911267944098401
79,-3.014404582399755,0.6654452517116327
80,-3.3942816212931186,0.6672189763911693
81,-6.922678325046612,1.2178435001270655
82,-6.435648633559948,1.1918270127427046
83,-4.532378167408099,0.9599277595293354
84,-3.61219994127931,0.6756284090346115
85,-4.2904743696775585,0.6703315098541163
86,-2.66955763075455,0.6775577109312999
87,-0.8747746946590529,0.27521382348008955
88,-6.008903781906995,0.7628862610209416
89,-6.115091790570137,1.3662731442496816
90,-3.48722516081765,0.479503650795425
91,-3.69346826748035,0.6773660696060788
92,-5.960462530559656,1.2008535070232544
93,-7.173559585352435,1.2243116988055798
94,-5.143063192121791,0.6827900619854904
