,alpha,beta
0,0.6570400749895401,-4.2120281629765675
1,0.5995432536850955,-4.009712865705618
2,0.5927302506418599,-3.855602396830169
3,0.6763901683637835,-4.064185381219121
4,0.528048832160564,-3.479809092402403
5,0.5224603040096929,-3.483138112961987
6,0.7888904294768884,-5.300361063674264
7,0.642193997050476,-4.33405717998166
8,0.7358821459246914,-4.544354497970049
9,0.6419448606413697,-4.177891013951049
10,0.658175025057932,-4.449374213883887
11,0.5850410330066422,-3.8808950257488566
12,0.579938963770844,-3.6394041804541915
13,0.6202830446358579,-4.4497867239556355
14,0.713695685240296,-4.489658558733525
15,0.6692855565547304,-4.097501720829148
16,0.5377728333334891,-3.553536100266908
17,0.5994573427173707,-3.9802083396941343
18,0.6979875841131824,-4.533242595762592
19,0.6150759555290919,-3.9383747474920074
20,0.6426756080715009,-3.838118955211421
21,0.6085665918574998,-4.140208489178483
22,0.4479296598477676,-2.890557943858097
23,0.49946048917273933,-2.911572891899445
24,0.6290236394092634,-4.457013579432747
25,0.6102348775232846,-3.746390811755875
26,0.5788555788199409,-3.8442084233627787
27,0.6531135602214726,-4.3260064252173365
28,0.61624751596513,-4.128174210664157
29,0.6098872879809561,-3.967184215121487
30,0.6856948565745931,-4.561734675202661
31,0.5654671593662921,-3.550706323764944
32,0.6818455832078861,-4.576206085325656
33,0.7092439845835435,-4.699611677807598
34,0.5847965040115863,-3.5489136683530322
35,0.572452407784831,-3.5063278579115122
36,0.6345142757254808,-4.296691210695424
37,0.6091088739888825,-3.9297287562752863
38,0.6447401681038509,-4.327722945471236
39,0.6600757817460137,-4.305391978456924
40,0.7230999470017923,-4.553432371968119
41,0.6667558081509148,-4.552858920514054
42,0.591830277415853,-3.743137310668861
43,0.6565159126610228,-4.448130395384794
44,0.6015301705288735,-4.036189434470421
45,0.7365002639610376,-5.020331838232276
46,0.6910430653418976,-4.589268294828101
47,0.5666017993590043,-3.706635015136397
48,0.6274860549260131,-4.282708120628555
49,0.5754863078551754,-3.7479685109948355
50,0.5874561887953088,-3.7526200984562075
51,0.6410631499730831,-4.2138096148348225
52,0.5417655130740837,-3.510205273036583
53,0.5184573104111487,-3.4708213679400792
54,0.5540313836309577,-3.7089849951820684
55,0.6952338169568527,-4.481350325401644
56,0.7199830724338346,-4.973532293906853
57,0.5242211445916364,-3.4543348166091707
58,0.6818595887796447,-4.483346963628737
59,0.5504644923532929,-3.6673732263283183
60,0.5997494782895608,-4.172235960081173
61,0.6308492491356711,-4.317049893578126
62,0.6034331252340187,-4.065412366974118
63,0.6332822189165365,-4.257502886942306
64,0.6424765036742697,-4.188110776878778
65,0.6621984224784789,-4.410864567276066
66,0.6132951433242844,-3.8517592695343725
67,0.587483465657324,-3.9522340357711694
68,0.6211325317290323,-4.145346731587622
69,0.5604709282006202,-3.6123521961379135
70,0.5889972894320649,-3.9998568057929713
71,0.6064341634743584,-3.8251248049728526
72,0.7605778071820061,-5.508314441407196
73,0.6561669258135643,-4.242799331746913
74,0.6048536283442115,-4.074627706195208
75,0.5619249647402726,-3.8473433194602
76,0.6225937225455233,-4.086664898074072
77,0.5967181929303271,-3.6745070740248176
78,0.5184000053244279,-3.568963368118861
79,0.6321086030638656,-4.2943712506588145
80,0.6170923567736143,-4.07403626071726
81,0.622680293794337,-4.296505622900727
82,0.6329273103409961,-4.18435754650614
83,0.6440875937670973,-3.945568785628825
84,0.7105640285672669,-4.727067059514005
85,0.6625182849335248,-4.304298226420339
86,0.6662460124231153,-4.317635415815683
87,0.6903678476371906,-4.3770156942994625
88,0.6299278830711731,-4.217390103540167
89,0.6538585243403481,-4.364169748374257
90,0.5687549233427609,-4.058969649865325
91,0.6305770904159697,-4.17371600011076
92,0.6583971272127425,-4.389682113828472
93,0.6621905464113873,-4.5778245372542505
94,0.6585149036195445,-4.281720335559472
95,0.5700731446419958,-4.068729865229359
96,0.6336227324131302,-4.069274010379032
97,0.6799186197623086,-4.450006085361068
98,0.6701610181747927,-4.7637245687029335
99,0.5823909127650851,-4.100929150771724
100,0.6937966823892783,-4.778587883802609
101,0.596368586630878,-3.6972047717199286
102,0.7060414176281276,-4.789172762747246
103,0.545370412724788,-3.5444921818002024
104,0.629047999769141,-4.0894904844261735
105,0.45770642394205296,-3.0633687080897047
106,0.5666927011695295,-3.5127677387699996
107,0.5294849853135221,-3.359514009254404
108,0.6138547437524084,-3.9566187887687425
109,0.6453172910396816,-4.259334920737698
110,0.7167202266087164,-4.257980193070713
111,0.6010767355511882,-4.021603015100541
112,0.6257962454156949,-4.104956455087989
113,0.48033132726134664,-3.127755360741586
114,0.6240127359255776,-4.322215756505359
115,0.5943156689853913,-3.9280694288940143
116,0.6142796945910489,-4.0919726589085235
117,0.6396753922091989,-4.097138046276017
118,0.7764712210219735,-4.733304438773067
119,0.6244848572878943,-4.153828848927544
120,0.6265605487234969,-3.9280209667188073
121,0.6578980594861347,-4.30766599106197
122,0.5589486223514429,-3.6737974542368796
123,0.7533954485613668,-4.7811174808557855
124,0.610778631442343,-3.8937804465622583
125,0.6457313277343991,-4.1856370697451775
126,0.6018988958140945,-3.659642095681782
127,0.6202919845490843,-3.976724329928154
128,0.5583749248522852,-3.4758279832535375
129,0.641479128457261,-4.1483684605153055
130,0.5467674083184452,-3.5679365418772955
131,0.6646717859240184,-4.350791725018091
132,0.5938661623292709,-3.9887801694879226
133,0.7221516551385045,-4.7639555302003
134,0.6431576486744576,-4.5010651981581535
135,0.6442680980914014,-4.416035419874956
136,0.5884428467848083,-3.729530405742232
137,0.5728797504722549,-3.5930312930060047
138,0.6558021069164733,-4.349556212675367
139,0.6158438817402727,-4.070624943765556
140,0.6725442650194088,-4.425465490318831
141,0.7223585491438833,-4.530089064630795
142,0.5423311040345534,-3.5817605073713983
143,0.6848612003327929,-4.124046767299742
144,0.7064927084343715,-4.766499310142113
145,0.6033434619628641,-3.9379601715308588
146,0.6644542448120504,-4.48529558680637
147,0.5982644014259487,-3.9183452618861
148,0.6534762168751955,-4.335309994097402
149,0.6210085519607798,-3.8510202673117093
150,0.7182779793494085,-5.038466314207891
151,0.7350229463741027,-4.788878541249169
152,0.5887248320115754,-3.983092817522707
153,0.6183444130288578,-3.9601303762127045
154,0.7210613613713592,-4.9149339388501465
155,0.6694566996968817,-4.525573484250692
156,0.7208179833554654,-4.708274194863164
157,0.5805493472047254,-3.9416843973056976
158,0.7103960035537641,-4.7032026628698915
159,0.6322249305386028,-4.271644958302874
160,0.5094196997831907,-3.354066664498472
161,0.5485765602628927,-3.539784985763541
162,0.523674580546681,-3.383667593513232
163,0.6212126315447021,-4.15514835258252
164,0.7334673980261704,-4.980866531479404
165,0.6601183444035967,-4.487963449852243
166,0.5896788955091197,-4.029252783678484
167,0.6092446884840763,-4.058283285705285
168,0.5802021754557353,-3.8269067350929222
169,0.5833452293093001,-3.951469618328692
170,0.6350220841618311,-4.101074945660968
171,0.5968076011990561,-3.8167610903175335
172,0.6945904030554277,-4.78101632815103
173,0.6225234222489333,-4.192130237955036
174,0.656106480421096,-4.090694835545461
175,0.6977350914230139,-4.548972844675956
176,0.652469998808522,-4.367937406673632
177,0.48408344365173617,-3.2112199524811227
178,0.6972644815220964,-4.4004474711935995
179,0.609517602687159,-3.77496083999634
180,0.6574057869826997,-4.2729734996417985
181,0.7588839670721047,-4.742885753518068
182,0.6485100366648737,-4.018248164847981
183,0.7232585185073109,-5.138383488573052
184,0.6820159462255858,-4.547822493735764
185,0.4316764646162831,-2.7976241175906194
186,0.5871588608261056,-3.9193141147281803
187,0.5951997787336295,-4.000700851633777
188,0.7370240343131708,-4.8681595857957936
189,0.5724782001370748,-3.7042977220152835
190,0.6572118377353627,-4.437215792740321
191,0.5586574876080341,-3.412406163355289
192,0.7090662032040425,-4.896007016844231
193,0.7139085398600048,-4.690738712128235
194,0.5239079839814877,-3.3760057427362917
195,0.6150953257768075,-4.034487588857834
196,0.6363969688543331,-4.215258076303269
197,0.6132177413048401,-4.184613694183093
198,0.573936712187131,-3.899482507729542
199,0.5297965097983495,-3.378204176747637
200,0.5690440406441787,-3.8186953495142832
201,0.5997110645959666,-3.823528617703532
202,0.6620927691138581,-4.495418051023178
203,0.4968688119061321,-3.259998076027708
204,0.6694464710059287,-4.459919289072416
205,0.5775714119345251,-3.7892258049095244
206,0.49112898425574325,-3.271015515414867
207,0.5746086735325929,-3.819317543740531
208,0.6664154862275196,-4.293401299446882
209,0.6683838065896966,-4.413489954228152
210,0.5771946641529451,-3.6313129218203417
211,0.6177383288918171,-4.406484139508236
212,0.6029401870093873,-3.8042199982736657
213,0.5844251789130863,-3.9421045941690087
214,0.6264393908434714,-4.0498161135425415
215,0.7339139511439474,-4.191106946466111
216,0.6364387408201295,-4.1296269726461965
217,0.6068321461036137,-4.099322210463761
218,0.7190847745750379,-4.700029974689315
219,0.6897557932750882,-4.453342411490467
220,0.5314929749882571,-3.5996439006636116
221,0.5437375334439394,-3.346589322473658
222,0.5491460893159518,-3.501217065045494
223,0.5933982705472085,-4.038632606053569
224,0.710606363817137,-5.036258826737138
225,0.6515322133964124,-4.291340435792788
226,0.5613877476651209,-3.468216894655516
227,0.8025022678698043,-5.501800653866025
228,0.47710281702153495,-2.8943015467109876
229,0.7226379269734805,-4.692372913237924
230,0.6394423339735245,-4.187506483967215
231,0.6554381850583795,-4.254425779932502
232,0.5503046720003282,-3.447566510796068
233,0.5395341093389079,-3.584768545970113
234,0.6423457357441125,-4.151183207251797
235,0.5227751151352799,-3.2429711902640332
236,0.7008640586031867,-4.4811930141362915
237,0.6075030263647542,-3.977099701793414
238,0.6683917536002255,-4.333603912718101
239,0.5523097090791845,-3.6667311731528405
240,0.6621019148127352,-4.441842983607058
241,0.5499328308624178,-3.6675480261388307
242,0.5598441987962983,-3.5761191347824375
243,0.6900398374499686,-4.4641164911681575
244,0.616439367814691,-3.7554454416630922
245,0.6830899266529734,-4.398658064068826
246,0.6434041863321301,-4.043639099435745
247,0.6291261393655543,-3.839234132253994
248,0.6051994000026435,-4.126649560983956
249,0.6796683264234322,-4.585925378129268
250,0.692866567352555,-4.608686203232746
251,0.5885976349736274,-3.9583905604862384
252,0.653992447708737,-4.307880886170499
253,0.5990909801589902,-3.9860036468932503
254,0.5734479609153562,-3.667474698593292
255,0.5859131468062792,-3.7468968615256477
256,0.6501237967376832,-4.168251446239232
257,0.7199956315793818,-4.819075595239956
258,0.6182277717777377,-3.955202787134798
259,0.5568916531168318,-3.688321505473659
260,0.6699110749861609,-4.522951178472579
261,0.761808134849079,-5.348243164204904
262,0.6571906115391727,-4.305864686669927
263,0.5663816926536893,-3.6842419034127407
264,0.5620310440390959,-3.8480973525901003
265,0.5914184647748315,-3.9772599569449896
266,0.6328189384832683,-4.2873788599116205
267,0.6251965229101509,-4.060450744094473
268,0.6323479026325094,-4.076954342795779
269,0.46918904565006403,-3.1581752305096815
270,0.6926586388250072,-4.5121448574143015
271,0.600720425294039,-3.7031031349177708
272,0.5656186675328321,-3.7732099073264305
273,0.5617122013421071,-3.548365672868896
274,0.6532036186254716,-4.171373310020772
275,0.6948070993625773,-4.595090999967268
276,0.5912977174880774,-3.6643326949099317
277,0.5190364710744859,-3.3789091055825753
278,0.6682513054644813,-4.217483616584521
279,0.72719719215466,-4.562851125625735
280,0.6431064783633256,-4.351493944271578
281,0.5337953284965967,-3.55309900586727
282,0.632306458068001,-4.448596966822384
283,0.7252701598943798,-4.820574308237198
284,0.6522573849555622,-4.147298111724488
285,0.629136521241418,-3.8718279257741015
286,0.5862189236850418,-3.8062558838479084
287,0.6082988179932431,-4.072530465064586
288,0.5365125450486633,-3.3627460388849695
289,0.7807390761628302,-5.167102377100522
290,0.6100926006943109,-3.8735208488313218
291,0.5893792244877339,-3.696045398790221
292,0.6786755919251966,-4.565266383866854
293,0.565445925835807,-3.433731872933567
294,0.5867637656183613,-3.484644541370198
295,0.7204389405791456,-4.756755148970194
296,0.5169429949297013,-3.2050833282922864
297,0.6954354326846385,-4.500733432766302
298,0.6221984527781234,-4.114721814238394
299,0.7135563427963695,-4.661953874248418
300,0.5538572966008586,-3.4659123347783636
301,0.6511273722515208,-4.294252842649003
302,0.6191852936166666,-4.192139346003386
303,0.6842745813320714,-4.393477096165055
304,0.5936036598130636,-3.698275647113448
305,0.6544142096968748,-4.498690568687384
306,0.6411689235506834,-4.025545583953704
307,0.5439233120637661,-3.441411192072082
308,0.6839787746892932,-4.377405956208799
309,0.5869002862005498,-3.751572274223986
310,0.6090148782136717,-4.179465736511564
311,0.5807614991159612,-3.974064535249684
312,0.6094197203580823,-3.965962119160031
313,0.5582833034752054,-3.560724875918055
314,0.7239436195136157,-4.978428640968752
315,0.5603761684108742,-3.4234701215485384
316,0.567715713593802,-3.751422461124119
317,0.6028842267703097,-3.908554286418724
318,0.7658549986155205,-5.294904881024096
319,0.5808469595882939,-3.647438517798495
320,0.6261058828691963,-3.9080621501965314
321,0.7175127117581167,-5.000954151846811
322,0.5822584410994587,-3.599336461217042
323,0.7271999914077796,-4.38561023464481
324,0.7209270983727499,-4.860594032056793
325,0.7386195921297298,-4.77972623355709
326,0.5885506207412815,-3.943009981337368
327,0.6481281309282675,-4.232365148880778
328,0.6528896771996077,-4.221740596956021
329,0.6673403891180142,-4.616390740600438
330,0.619069285546601,-3.8529336272693704
331,0.6408370440455439,-4.428591306883909
332,0.5319951778395811,-3.6760611916725265
333,0.6064857687488714,-3.588421840555788
334,0.5970670313057177,-3.826287627561883
335,0.6824730960267887,-4.282803404807672
336,0.5909907269248216,-4.22444112564651
337,0.5793521001553709,-3.6420868709233982
338,0.6936785912069237,-4.694167006238633
339,0.7182005896858644,-4.796924344264066
340,0.6152990587538015,-3.9040402943084827
341,0.6360618337992247,-4.027393835547802
342,0.5161193569970691,-3.489283968104522
343,0.6468646460757093,-4.04552481044197
344,0.622058709405721,-4.169929767800675
345,0.6851721192870928,-4.714880686850882
346,0.7106908507639537,-4.795238594375821
347,0.6193898449167052,-3.9914133979762956
348,0.4846277431928266,-2.9664882249989146
349,0.6034930675496025,-3.700253022550713
350,0.6358757617598528,-3.865378252704238
351,0.6668617284315148,-4.1259195380908595
352,0.6829668547204061,-4.500955572379953
353,0.8272870219074866,-5.767719577616697
354,0.6096433783182184,-3.9258845693789364
355,0.5654928370647136,-3.8203904782163036
356,0.6673252005351397,-4.305176532153126
357,0.6247143213029721,-4.034173547261118
358,0.6113975505869871,-3.8719154609564463
359,0.6497546468163633,-4.547283789418234
360,0.6658967778209574,-4.232791926198661
361,0.6731784922953891,-4.3896855334359
362,0.5977083444549554,-4.125317404363694
363,0.5844117775320246,-3.608773805696459
364,0.5646819666124033,-3.7330255314492646
365,0.5151841055809112,-3.4579978080615272
366,0.6191811625663645,-4.143220702345284
367,0.5819614163056208,-3.7577172915115704
368,0.7021782664711931,-4.511470335362542
369,0.7087294910197213,-4.717313921697629
370,0.6520540895869793,-4.457852243780677
371,0.7398612355418064,-4.994609436677119
372,0.4849947816432958,-3.034479207009276
373,0.6135325997100445,-4.101712499440236
374,0.6964292752744674,-4.67735661374045
375,0.6013685544756694,-3.807877626431353
376,0.6665268976399129,-4.254801129446608
377,0.6863938020320718,-4.397349337823334
378,0.6102838662130462,-4.003846336237263
379,0.6395090058969378,-4.006697215909257
380,0.6072731225258491,-4.090858126846929
381,0.6258605967050515,-3.6603083039694417
382,0.6303606136758985,-4.027518167183914
